TypovÈ oznaËenÌ;Artikl;V˝robce;N·zev;»Ìslo dÌlu v˝robce;V˝bÏhov˝ dÌl;status
281-673/281-401;155274;WAGO;RADOVE SVORKY DIODA 1,5A II GY 1/2;;;H
3RH1921-1CA01;166889;SIEMENS;Blok pom.kontaktu 1P 1NC sroub;;;H
3RV1011-1HA10;167140;SIEMENS;Spoustec motoru 5.5-8A         S00 Screw;167140;;H
;1000001;;Vorlage Material f¸r ETCR - Einheit ST;;;U
;1000002;;Vorlage Material f¸r ETCR - Einheit M;;;U
;1000230;SCHALTAG;Schaltschrank +A1 249597;;;H
;3000001;SCHALTAG;RozvadÏË˘ +A1 249342;;;H
;3000093;SCHALTAG;Schaltschrank 1009588 zu P-202828;;;H
;3000101;SCHALTAG;Buskasten 1009589 zu P-202828;;;H
;3000159;SCHALTAG;Schalter zu Handkabinensteuerung;;;H
;3000233;SCHALTAG;"75"" WOW Interactive Screen Ultra HD 4K";;;H
;3000234;SCHALTAG;Lieferung, Installation, Inbetriebnahme;;;H
XFT2552;3000320;SCHALTAG;RozvadÏË XFT2552;;;H
;3000328;SCHALTAG;WOW Atlas 3000 Winterthur  002;;;H
;3000330;SCHALTAG;Grundplatte Red APG Schrank mit Verdr.;;;H
;3000341;SCHALTAG CZ;Rozvadec dle schematu 250966;;;H
;3000342;SCHALTAG CZ;Rozvadec dle schematu 250928;;;H
;3000343;SCHALTAG CZ;Rozvadec dle schematu 250813;;;H
;3000344;SCHALTAG CZ;Rozvadec dle schematu 250673;;;H
;3000365;SCHALTAG;Rozvadec dle schematu 250937;;;H
;3000366;SCHALTAG;E-RET Opcos FA-3043100;;;H
;3000372;SCHALTAG;Stresstest Nachr¸stung FA-3040997;;;H
;3000373;SCHALTAG;Rozvadec TOP5000 PCD2.M5XX LST-V;;;H
;3000374;SCHALTAG;Rozvadec ELD-V;;;H
XFT2551;3000375;SCHALTAG;RozvadÏË XFT2551;;;H
115175-02;3000388;SCHALTAG;RozvadÏË EROWA Robot Easy ERE S-14;;;H
KOMM. 1359/180;3000392;SCHALTAG;Absetztisch 3x380-400V EU Komm. 1359/180;;;H
;3000393;SCHALTAG;Tragschiene St-vzk gel Hut 15x5,0mm L=1m;;;H
;3000397;SCHALTAG;ZFGUM.A  Basis 400V    Komm. 40066403;;;H
;3000398;SCHALTAG;Kalibrierer AC ZKWV.A    Komm. 40066490;;;H
XFT2556;3000403;SCHALTAG;RozvadÏË XFT2556;;;H
;3000404;SCHALTAG CZ;Rozvadec Willy dle schematu 250946;;;H
;3000409;SCHALTAG;Schaltschrank Z-110 S  Zellwag Pharmtech;;;H
;3000413;SCHALTAG;Steuerung Hubarbeitsplattform UL BZ1225;;;H
;3000415;SCHALTAG;LLI/LLS Grundaufbau 4WO Long Lead Items;;;H
;3000416;SCHALTAG;LLSEVO II Grundanlage Huawei FA-3048865;;;H
FA-3051649;3000417;SCHALTAG;LLSEVO II Grundanlage Lextar FA-3051649;;;H
;3000418;SCHALTAG;E-RET_IMT CH_RAD_19_24VDC UPS FA-3039426;;;H
;3000427;SCHALTAG;Verdrahtung Schaltschrank FleXmill;;;H
;3000430;SCHALTAG;Polyline PMML113 Basis    Komm. 40065977;;;H
;3000431;SCHALTAG;Ecoline SEL601.B    Komm. 40066595;;;H
KOMM. 20004448/60;3000432;SCHALTAG;Kalibrierer ZKWV600*E  Komm. 20004448/60;;;H
;3000433;SCHALTAG;Absetztisch 3x380-400V EU Komm. 1405/150;;;H
;3000437;SCHALTAG;D¸nnteiganlage Basis Komm. 40065977;;;H
;3000440;SCHALTAG;Control Cabinet for Easydos Pro;;;H
;3000450;SCHALTAG;Schaltschrank f¸r Pairing-System;;;H
;3000451;SCHALTAG;Steuerschrank KVA Buchs;;;H
;3000452;SCHALTAG;Schaltschrank Holcim;;;H
;3000453;SCHALTAG;Kalibrierer AC ZKWA.A     Komm. 40067206;;;H
;3000458;SCHALTAG;E-Ret Tafelmaier EHV215 FA-3047164;;;H
;3000459;SCHALTAG;Polyline PMML112 Basis    Komm. 40067204;;;H
;3000476;SCHALTAG;Kalibrierer AC ZKWVxT.E   Komm. 40067116;;;H
;3000477;SCHALTAG;ZFGUMT.C Basis 400V       Komm. 40067116;;;U
;3000478;SCHALTAG;Ecoline SEL601.B          Komm. 40067298;;;H
;3000479;SCHALTAG;Kalibrierer AC ZKWV.A     Komm. 40067381;;;H
;3000480;SCHALTAG;Kalibrierer ZKWV600*E     Komm. 40067258;;;H
;3000481;SCHALTAG;ZFGUM.A  Basis 400V Kolb. Komm. 40067381;;;H
;3000482;SCHALTAG;Tragschiene 35x7,5x 150 DIN/EN60715;;;H
;3000489;SCHALTAG;Rozvadec Willy dle schematu 251372;;;H
232566;3000494;SCHALTAG;LLSEVO II PR+CR HiSil. CN19-01 FA3046639;;;H
232567;3000495;SCHALTAG;LLSEVO II PR HiSil. CN 19-01 FA-3046639;;;H
232568;3000496;SCHALTAG;LLSEVO II CR HiSil. CN 19-01 FA-3046639;;;H
232571;3000497;SCHALTAG;LLSEVO II DPR HiSil. CN 19-01 FA-3046639;;;H
232572;3000498;SCHALTAG;LLSEVO II DPL HiSil. CN 19-01 FA-3046639;;;H
232573;3000499;SCHALTAG;LLSEVO II DPG HiSil. CN 19-01 FA-3046639;;;H
232574;3000500;SCHALTAG;LLSEVO II DPW HiSil. CN 19-01 FA-3046639;;;H
40067546;3000501;SCHALTAG;Polyline PMML113          Komm. 40067546;;;H
;3000503;SCHALTAG;Ecoline SEL601.B          Komm. 40067258;;;H
;3000504;SCHALTAG;Sensor Functional Test Tools;;;H
;3000505;SCHALTAG;Digital Potentiometer;;;H
;3000507;SCHALTAG;Motor Tool Test Box;;;H
2009165 / P-504009;3000508;SCHALTAG;Electrical Cabinet ELD P-504009/2009165;;;H
2009166 / P-504009;3000509;SCHALTAG;Electrical Cabinet ELD P-504009/2009166;;;H
2009164 / P-504009;3000510;SCHALTAG;Electrical Cabinet ELD P-504009/2009164;;;H
